MEASURE,REGION_TYPE,ASGS_2021,FREQ,TIME_PERIOD,value
ERP,SA2,208021181,A,2018,9897
ERP,SA2,208021181,A,2019,9878
ERP,SA2,208021181,A,2020,9771
ERP,SA2,208021181,A,2021,9467
ERP,SA2,208021181,A,2022,9526
ERP,SA2,208021181,A,2023,9760
ERP,SA2,208021181,A,2024,10010
ERP,SA2,208021181,A,2025,10126
ERP,SA2,208041194,A,2016,21148
ERP,SA2,208041194,A,2017,21229
ERP,SA2,208041194,A,2018,21378
ERP,SA2,208041194,A,2019,21592
ERP,SA2,208041194,A,2020,21457
ERP,SA2,208041194,A,2021,20469
ERP,SA2,208041194,A,2022,20507
ERP,SA2,208041194,A,2023,21299
ERP,SA2,208041194,A,2024,21586
ERP,SA2,208041194,A,2025,21820
ERP,SA2,209021523,A,2016,15180
ERP,SA2,209021523,A,2017,15356
ERP,SA2,209021523,A,2018,15496
ERP,SA2,209021523,A,2019,15588
ERP,SA2,209021523,A,2020,15565
ERP,SA2,209021523,A,2021,14987
ERP,SA2,209021523,A,2022,14926
ERP,SA2,209021523,A,2023,15424
ERP,SA2,209021523,A,2024,15915
ERP,SA2,209021523,A,2025,16329
ERP,SA2,209041432,A,2016,8690
ERP,SA2,209041432,A,2017,8766
ERP,SA2,209041432,A,2018,8783
ERP,SA2,209041432,A,2019,8766
ERP,SA2,209041432,A,2020,8655
ERP,SA2,209041432,A,2021,8279
ERP,SA2,209041432,A,2022,8068
ERP,SA2,209041432,A,2023,8280
ERP,SA2,209041432,A,2024,8380
ERP,SA2,209041432,A,2025,8322
ERP,SA2,210011231,A,2016,9968
ERP,SA2,210011231,A,2017,10157
ERP,SA2,210011231,A,2018,10269
ERP,SA2,210011231,A,2019,10311
ERP,SA2,210011231,A,2020,10277
ERP,SA2,210011231,A,2021,10107
ERP,SA2,210011231,A,2022,10167
ERP,SA2,210011231,A,2023,10301
ERP,SA2,210011231,A,2024,10427
ERP,SA2,210011231,A,2025,10536
ERP,SA2,210051441,A,2016,8749
ERP,SA2,210051441,A,2017,8837
ERP,SA2,210051441,A,2018,8869
ERP,SA2,210051441,A,2019,8844
ERP,SA2,210051441,A,2020,8715
ERP,SA2,210051441,A,2021,8190
ERP,SA2,210051441,A,2022,7965
ERP,SA2,210051441,A,2023,8107
ERP,SA2,210051441,A,2024,8170
ERP,SA2,210051441,A,2025,8172
ERP,SA2,210051542,A,2016,5754
ERP,SA2,210051542,A,2017,6691
ERP,SA2,210051542,A,2018,7482
ERP,SA2,210051542,A,2019,8326
ERP,SA2,210051542,A,2020,9253
ERP,SA2,210051542,A,2021,9975
ERP,SA2,210051542,A,2022,10339
ERP,SA2,210051542,A,2023,10721
ERP,SA2,210051542,A,2024,11144
ERP,SA2,210051542,A,2025,11293
ERP,SA2,211011449,A,2016,4441
ERP,SA2,211011449,A,2017,4460
ERP,SA2,211011449,A,2018,4469
ERP,SA2,211011449,A,2019,4455
ERP,SA2,211011449,A,2020,4415
ERP,SA2,211011449,A,2021,4380
ERP,SA2,211011449,A,2022,4299
ERP,SA2,211011449,A,2023,4297
ERP,SA2,211011449,A,2024,4318
ERP,SA2,211011449,A,2025,4336
ERP,SA2,211041272,A,2016,10896
ERP,SA2,211041272,A,2017,11025
ERP,SA2,211041272,A,2018,11144
ERP,SA2,211041272,A,2019,11260
ERP,SA2,211041272,A,2020,11337
ERP,SA2,211041272,A,2021,11079
ERP,SA2,211041272,A,2022,10983
ERP,SA2,211041272,A,2023,11141
ERP,SA2,211041272,A,2024,11333
ERP,SA2,211041272,A,2025,11435
ERP,SA2,212011548,A,2016,7719
ERP,SA2,212011548,A,2017,8044
ERP,SA2,212011548,A,2018,8303
ERP,SA2,212011548,A,2019,8757
ERP,SA2,212011548,A,2020,9387
ERP,SA2,212011548,A,2021,10160
ERP,SA2,212011548,A,2022,10802
ERP,SA2,212011548,A,2023,11503
ERP,SA2,212011548,A,2024,11981
ERP,SA2,212011548,A,2025,12598
ERP,SA2,212031300,A,2016,20888
ERP,SA2,212031300,A,2017,21207
ERP,SA2,212031300,A,2018,21414
ERP,SA2,212031300,A,2019,21516
ERP,SA2,212031300,A,2020,21673
ERP,SA2,212031300,A,2021,21581
ERP,SA2,212031300,A,2022,21578
ERP,SA2,212031300,A,2023,21983
ERP,SA2,212031300,A,2024,22468
ERP,SA2,212031300,A,2025,22708
ERP,SA2,212051319,A,2016,19308
ERP,SA2,212051319,A,2017,19764
ERP,SA2,212051319,A,2018,19978
ERP,SA2,212051319,A,2019,20259
ERP,SA2,212051319,A,2020,20324
ERP,SA2,212051319,A,2021,19782
ERP,SA2,212051319,A,2022,20041
ERP,SA2,212051319,A,2023,20560
ERP,SA2,212051319,A,2024,20875
ERP,SA2,212051319,A,2025,21139
ERP,SA2,212051324,A,2016,19291
ERP,SA2,212051324,A,2017,19593
ERP,SA2,212051324,A,2018,19912
ERP,SA2,212051324,A,2019,20087
ERP,SA2,212051324,A,2020,20062
ERP,SA2,212051324,A,2021,19471
ERP,SA2,212051324,A,2022,19586
ERP,SA2,212051324,A,2023,20213
ERP,SA2,212051324,A,2024,20522
ERP,SA2,212051324,A,2025,20659
ERP,SA2,213011338,A,2016,19533
